Frame,ID,Type
3,1,car
3,3,car
4,5,car
7,7,car
11,12,car
21,17,car
24,20,car
26,22,truck
27,23,car
27,24,car
28,26,car
31,28,car
38,31,car
43,33,car
45,34,car
49,37,car
Frame,ID,Type
3,1,car
3,3,car
4,5,car
7,7,car
11,12,car
21,17,car
24,20,car
26,22,truck
27,23,car
27,24,car
28,26,car
31,28,car
38,31,car
43,33,car
45,34,car
49,37,car
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
Frame,ID,Type
