Frame,ID,Type
4,3,car
4,4,car
4,5,truck
4,6,car
7,12,car
8,13,car
12,18,car
20,24,car
20,25,car
20,26,car
32,38,car
32,39,car
32,40,truck
37,46,car
38,48,car
44,53,car
48,59,car
48,60,bus
49,62,car
3,68,car
3,69,car
3,73,car
3,74,car
4,76,car
4,77,car
6,83,car
8,87,car
10,88,car
10,89,car
17,101,car
22,106,truck
22,108,car
32,128,car
38,134,car
42,138,car
42,139,car
45,140,car
46,142,truck
46,143,truck
46,144,car
49,146,car
50,148,car
50,149,car
50,150,car
53,154,car
53,155,car
3,158,car
3,159,truck
8,163,car
8,164,car
10,170,car
11,171,car
12,172,car
13,174,truck
17,180,car
19,183,truck
35,193,car
35,194,car
37,196,truck
41,202,truck
44,206,car
44,207,car
44,208,car
44,209,car
45,211,car
48,214,car
50,217,car
3,224,car
3,225,car
3,226,car
3,228,car
3,229,car
3,230,car
3,231,truck
3,232,car
3,233,car
3,234,car
3,235,car
3,237,car
3,238,car
3,239,car
3,240,car
3,241,car
4,242,car
5,243,car
11,254,car
19,267,car
22,269,car
22,270,car
24,271,car
33,275,car
46,288,car
49,289,truck
3,296,car
4,297,car
4,298,car
22,305,car
22,306,car
42,310,car
45,311,car
49,312,car
3,316,car
4,318,truck
7,322,car
12,325,truck
17,327,car
27,334,car
28,337,car
41,343,car
4,353,car
4,354,car
4,355,car
4,356,car
4,357,car
4,358,car
4,359,car
4,360,truck
4,361,car
8,363,car
10,364,car
14,373,car
17,377,car
18,378,car
26,383,car
35,391,car
36,392,car
45,398,car
46,399,car
3,411,car
3,412,car
3,413,car
3,414,car
3,415,car
3,416,car
3,417,car
4,420,car
4,422,car
6,424,car
6,425,car
8,427,car
10,431,car
13,434,car
17,437,car
18,438,car
28,447,car
29,450,car
32,453,truck
34,456,car
38,463,car
38,465,car
41,468,car
43,473,truck
49,476,car
49,477,car
50,478,car
53,481,car
3,485,truck
9,488,car
13,490,car
15,493,car
22,498,car
22,499,car
25,501,car
36,504,car
37,506,car
42,509,car
43,510,car
46,512,truck
46,513,car
47,514,car
4,521,car
4,522,truck
9,527,car
27,541,truck
36,546,truck
36,547,car
39,549,truck
52,559,car
3,561,car
3,562,car
3,563,car
3,565,car
4,567,car
7,571,car
9,577,car
16,584,car
19,587,car
21,589,truck
22,590,car
23,591,car
28,595,car
31,596,bus
32,598,car
35,603,car
37,604,car
40,613,car
42,615,truck
51,621,truck
52,622,car
53,626,car
53,627,truck
53,628,car
3,632,car
3,635,car
4,636,car
4,637,truck
6,640,car
7,642,car
17,650,car
22,656,car
28,662,car
28,663,car
36,665,car
37,666,car
44,673,car
47,676,car
